commit	status	subject	evidence
c024c53d34	n/a	Merge pull request #3458 from deepseek-harness/xtr/record-browser-gif-gh-attach	GitHub issue workflow only; no shipped runtime or client artifact
f98bfbda85	reverted	Merge pull request #3452 from deepseek-harness/feat/session-message-edit	Fully reverted by 9d3bbd46ee; no edit contract retained
9d3bbd46ee	reverted	Merge pull request #3459 from deepseek-harness/revert-3452-feat/session-message-edit	Verified removal; Go does not revive message edit
a8e33b62e3	support	Merge pull request #3434 from deepseek-harness/worktree-pkgnode	Upstream packaging/Python SDK executable support; Go standalone smoke owns its native distribution path
0e6a397464	n/a	Merge pull request #3444 from deepseek-harness/turtle/migrate-issue-fields-to-project	GitHub project automation only
427d210b5e	ported	Merge pull request #3451 from deepseek-harness/worktree/fix-model-listing-discovery	internal/harness/model_discovery.go; native OpenAI/Anthropic discovery tests
48d84990a0	generated	Merge pull request #3471 from deepseek-harness/release/dsh-0.1.2-rc.1-version-to-master	upstream.lock and generated target assets
7169660d33	ported	Merge pull request #3198 from deepseek-harness/worktree/deepseek-harness-proxy-config-2f5b4a	internal/harness/http_proxy.go; all production HTTP clients use isolated proxy transports
76fda72979	ported	Merge pull request #3481 from deepseek-harness/fix/http-proxy-rc-version	Proxy package release content covered by the same implementation and generated pin
0c99ae8557	n/a	Merge pull request #3474 from deepseek-harness/worktree/lark-docs-optimization-c86275	Documentation only
9fe2112a63	support	Merge pull request #3473 from deepseek-harness/feat/python-sdk-macos-x64	Python SDK platform packaging; not a Go runtime protocol
100fcb286f	n/a	Merge pull request #3432 from deepseek-harness/fix/pwsh-loader-composition-timeout	Upstream test timeout only
818c4f344e	ported	Merge pull request #3520 from deepseek-harness/turtle/issue-2353-fs-error-copy	internal/harness/fs_policy.go stable path-aware remedy text
1d35bcfc8a	generated	Merge pull request #3533 from deepseek-harness/gate/package-version-drift	pi-ai/runtime/catalog and upstream inventory drift gates
b4ea3efcf6	ported	Merge pull request #3400 from deepseek-harness/worktree/session-format-06-v2-snapshot-rollout	v2 session paths, embedded assistant streams, format readers and tests
9656a1742b	ported	Merge pull request #3521 from deepseek-harness/turtle/issue-2349-windows-root-workspace	CreateWorkspace rejects relative paths and preserves root titles
df07f37827	ported	Merge pull request #3516 from deepseek-harness/turtle/issue-2390-windows-hide-subprocess	process_windows.go applies CREATE_NO_WINDOW to children and taskkill
bee0c13f28	n/a	Merge pull request #3513 from deepseek-harness/fix/test-tmp-teardown-self-clean	Upstream test cleanup only
b6b2ec4a90	frontend	Merge pull request #3480 from deepseek-harness/fix/search-result-reveal-session	Official target client assets
645c68daf2	ported	Merge pull request #3530 from deepseek-harness/turtle/pr-3520-review-followup	FS diagnostic follow-up tests and exact retry guidance
7acc038beb	ported	Merge pull request #3362 from deepseek-harness/refactor/session-persistence-write-lease	session_lease_unix.go/session_lease_windows.go and cross-process tests
267d755bee	frontend	Merge pull request #3552 from deepseek-harness/worktree/skill-fuzzy-search-53e21d	Official target client assets; Host skill inventory/search unchanged
53f6590f76	ported	Merge pull request #3109 from deepseek-harness/worktree/2984-generic-file-upload	file_attachments.go, RPC/prompt/provider projection and ZIP export
9c13703708	frontend	Merge pull request #3556 from deepseek-harness/fix/web-skill-chip-rebuilt-message	Official target client assets
0180c5cdea	frontend	Merge pull request #3547 from deepseek-harness/ihsiangzhang/tool-call-clickable-styles	Official target client assets
2f77acb9ab	frontend	Merge pull request #3558 from deepseek-harness/fix/web-clickable-links-gallery-golden	Official target client assets and E2E fixture only
d347e70390	generated	Merge pull request #3554 from deepseek-harness/release/dsh-0.1.3-alpha.1	Version/package release; target pin and generated assets
5659d19c30	frontend	Merge pull request #3484 from deepseek-harness/fix/fork-resume-system-prompt	Official client request-prompt projection; Go fork prompt replay tests
0ea65903ce	frontend	Merge pull request #3580 from deepseek-harness/worktree/fix-client-reconnection	Official connection client assets; Go server stream reconnect contract retained
4dd2c7b51b	frontend	Merge pull request #3582 from deepseek-harness/worktree/queue-submission-sending	Official queue UI assets; Go queue admission remains durable
d86c08bc1c	n/a	Merge pull request #3548 from deepseek-harness/worktree/archive-agent-notes-20260904	Agent note archival only
4aa3cb7818	frontend	Merge pull request #3590 from deepseek-harness/worktree/ui-primitives-consolidation-429264	Official target client assets
93d89dd0d5	support	Merge pull request #3603 from deepseek-harness/fix/ci-runtime-wheel-windows	Python wheel CI only
62120daf94	replaced	Merge pull request #3602 from deepseek-harness/worktree/dsh-package-manifest	Go profile package identity/runtime policy and generated inventory replace TS manifest helper
cd872be967	ported	Merge pull request #3613 from deepseek-harness/chore/pi-ai-0.85.1	0.85.1 catalog/request fields plus validated v2 replay envelope, Anthropic resolved-model identity and providerThinkingLevel mid-conversation replay
eae5c6b896	ported	Merge pull request #3598 from deepseek-harness/feat/feedback-otel-fallback	Canonical feedback events, cold mutation, command wording and FEEDBACK_ONLY telemetry
ce0a1e4253	replaced	Merge pull request #3368 from deepseek-harness/fix/directory-picker-win32-overread	Go PowerShell picker has no native pointer/string overread seam
a6e157c0a3	ported	Merge pull request #3605 from deepseek-harness/fix/ptc-bash-cards	Official client cards plus Go canonical spill notice and nested PTC result contract
4acdf8e5bb	ported	Merge pull request #3611 from deepseek-harness/feat/sdk-disable-str-replace-editor	Target profile assets; standard SDK omits and sdk-minimal retains str_replace_editor
cd4a23c5df	n/a	Merge pull request #3529 from deepseek-harness/turtle/redesign-issue-pr-templates-policy	GitHub issue/PR templates only
53066fd640	support	Merge pull request #3535 from deepseek-harness/perf/01-session-open-benchmarks	Benchmark package tracked; behavior covered by session open tests
80306f51a6	ported	Merge pull request #3585 from deepseek-harness/session-migration-streaming	session_migration.go converts v0/v1 streams and verifies v2 embedded attempts
450d98b398	ported	Merge pull request #3586 from deepseek-harness/session-migration-preparation	Read preparation migrates in memory without rewriting source; format tests cover reopen
53c2ed9916	ported	Merge pull request #3618 from deepseek-harness/fix/session-reference-spill	session_reference.go preserves fullSnapshot and exact model-relative budget
81dcacbb44	ported	Merge pull request #3537 from deepseek-harness/perf/03-client-stream-fold	Official client fold plus Go compact embedded stream readers for usage/stats/subagents
ceb3136bef	n/a	ci: size PR previews on measured standard hosted runners (#3628)	CI only
ed183b1bd1	ported	Merge pull request #3630 from deepseek-harness/fix/agent-message-spacing	Go message projection spacing and regression coverage
